prompt_index,prompt_id,round_count,budget,mean_paired_difference
9,gsm8k:test:244:turn-0:f7479c30d5b2,73,8,0.3698630136986301
10,gsm8k:test:237:turn-0:46c9a228b5ef,45,8,0.4666666666666667
11,gsm8k:test:689:turn-0:de38ea8fba8c,61,8,0.3442622950819672
12,gsm8k:test:601:turn-0:e79b65885efe,71,8,0.19718309859154928
13,gsm8k:test:98:turn-0:0cf2bb730db0,73,8,0.3835616438356164
14,gsm8k:test:1284:turn-0:279651aacfd5,71,8,0.28169014084507044
15,gsm8k:test:1131:turn-0:39bb46246bcf,74,8,0.4189189189189189
16,gsm8k:test:1272:turn-0:1f04e0044916,46,8,0.43478260869565216
17,gsm8k:test:482:turn-0:43dfd9650ca8,43,8,0.4418604651162791
18,gsm8k:test:992:turn-0:08767a111734,59,8,0.1694915254237288
19,gsm8k:test:454:turn-0:e58837953363,26,8,0.38461538461538464
20,gsm8k:test:183:turn-0:a0e1f7344c6e,72,8,0.2638888888888889
21,gsm8k:test:476:turn-0:ac9fa5109a39,42,8,0.023809523809523808
22,gsm8k:test:506:turn-0:721e1f45e744,56,8,0.25
23,gsm8k:test:765:turn-0:bc69d570adcb,36,8,0.5
24,gsm8k:test:1195:turn-0:24b8ea235fdc,60,8,0.18333333333333332
25,gsm8k:test:1093:turn-0:d20d0d48bb0a,71,8,0.38028169014084506
26,gsm8k:test:1232:turn-0:738a8f9de2e8,35,8,0.2
27,gsm8k:test:967:turn-0:6754bc99e7aa,54,8,0.2962962962962963
28,gsm8k:test:622:turn-0:b4b0d95d96a0,95,8,0.35789473684210527
29,gsm8k:test:90:turn-0:5567f49aa1c4,55,8,0.10909090909090909
30,gsm8k:test:423:turn-0:a9803aada7db,97,8,0.14432989690721648
31,gsm8k:test:1020:turn-0:567a371a2556,40,8,0.5
0,gsm8k:test:264:turn-0:cbccfbeeb182,58,16,0.27586206896551724
1,gsm8k:test:725:turn-0:d3bdb32954ce,50,16,0.58
2,gsm8k:test:996:turn-0:e543f56bd86d,84,16,0.44047619047619047
3,gsm8k:test:586:turn-0:c574f85c881a,58,16,0.08620689655172414
4,gsm8k:test:1010:turn-0:8be4a257d36a,44,16,-0.06818181818181818
5,gsm8k:test:12:turn-0:e088a2ffbb09,93,16,0.4731182795698925
6,gsm8k:test:904:turn-0:11c33e8ce051,52,16,0.5384615384615384
7,gsm8k:test:130:turn-0:e638e1858c1c,50,16,0.22
8,gsm8k:test:209:turn-0:dc688bae2b0d,69,16,0.6811594202898551
9,gsm8k:test:244:turn-0:f7479c30d5b2,73,16,0.6301369863013698
10,gsm8k:test:237:turn-0:46c9a228b5ef,45,16,0.8444444444444444
11,gsm8k:test:689:turn-0:de38ea8fba8c,61,16,0.45901639344262296
12,gsm8k:test:601:turn-0:e79b65885efe,71,16,0.39436619718309857
13,gsm8k:test:98:turn-0:0cf2bb730db0,73,16,0.6027397260273972
14,gsm8k:test:1284:turn-0:279651aacfd5,71,16,0.4788732394366197
15,gsm8k:test:1131:turn-0:39bb46246bcf,74,16,0.581081081081081
16,gsm8k:test:1272:turn-0:1f04e0044916,46,16,0.5652173913043478
17,gsm8k:test:482:turn-0:43dfd9650ca8,43,16,0.5348837209302325
18,gsm8k:test:992:turn-0:08767a111734,59,16,0.4406779661016949
19,gsm8k:test:454:turn-0:e58837953363,26,16,0.46153846153846156
20,gsm8k:test:183:turn-0:a0e1f7344c6e,72,16,0.375
21,gsm8k:test:476:turn-0:ac9fa5109a39,42,16,0.5952380952380952
22,gsm8k:test:506:turn-0:721e1f45e744,56,16,0.375
23,gsm8k:test:765:turn-0:bc69d570adcb,36,16,0.6388888888888888
24,gsm8k:test:1195:turn-0:24b8ea235fdc,60,16,0.016666666666666666
25,gsm8k:test:1093:turn-0:d20d0d48bb0a,71,16,0.704225352112676
26,gsm8k:test:1232:turn-0:738a8f9de2e8,35,16,0.34285714285714286
27,gsm8k:test:967:turn-0:6754bc99e7aa,54,16,0.2777777777777778
28,gsm8k:test:622:turn-0:b4b0d95d96a0,95,16,0.5473684210526316
29,gsm8k:test:90:turn-0:5567f49aa1c4,55,16,0.16363636363636364
30,gsm8k:test:423:turn-0:a9803aada7db,97,16,0.2268041237113402
31,gsm8k:test:1020:turn-0:567a371a2556,40,16,0.3
0,gsm8k:test:264:turn-0:cbccfbeeb182,58,32,0.4827586206896552
1,gsm8k:test:725:turn-0:d3bdb32954ce,50,32,0.74
2,gsm8k:test:996:turn-0:e543f56bd86d,84,32,0.38095238095238093
3,gsm8k:test:586:turn-0:c574f85c881a,58,32,0.22413793103448276
4,gsm8k:test:1010:turn-0:8be4a257d36a,44,32,0.2727272727272727
5,gsm8k:test:12:turn-0:e088a2ffbb09,93,32,0.6021505376344086
6,gsm8k:test:904:turn-0:11c33e8ce051,52,32,0.6730769230769231
7,gsm8k:test:130:turn-0:e638e1858c1c,50,32,0.22
8,gsm8k:test:209:turn-0:dc688bae2b0d,69,32,0.6231884057971014
9,gsm8k:test:244:turn-0:f7479c30d5b2,73,32,0.684931506849315
10,gsm8k:test:237:turn-0:46c9a228b5ef,45,32,0.8
11,gsm8k:test:689:turn-0:de38ea8fba8c,61,32,0.45901639344262296
12,gsm8k:test:601:turn-0:e79b65885efe,71,32,0.4788732394366197
13,gsm8k:test:98:turn-0:0cf2bb730db0,73,32,0.6575342465753424
14,gsm8k:test:1284:turn-0:279651aacfd5,71,32,0.5211267605633803
15,gsm8k:test:1131:turn-0:39bb46246bcf,74,32,0.6081081081081081
16,gsm8k:test:1272:turn-0:1f04e0044916,46,32,0.4782608695652174
17,gsm8k:test:482:turn-0:43dfd9650ca8,43,32,0.37209302325581395
18,gsm8k:test:992:turn-0:08767a111734,59,32,0.3389830508474576
19,gsm8k:test:454:turn-0:e58837953363,26,32,0.34615384615384615
20,gsm8k:test:183:turn-0:a0e1f7344c6e,72,32,0.4861111111111111
21,gsm8k:test:476:turn-0:ac9fa5109a39,42,32,0.6190476190476191
22,gsm8k:test:506:turn-0:721e1f45e744,56,32,0.3392857142857143
23,gsm8k:test:765:turn-0:bc69d570adcb,36,32,0.6388888888888888
24,gsm8k:test:1195:turn-0:24b8ea235fdc,60,32,0.23333333333333334
25,gsm8k:test:1093:turn-0:d20d0d48bb0a,71,32,0.7323943661971831
26,gsm8k:test:1232:turn-0:738a8f9de2e8,35,32,0.42857142857142855
27,gsm8k:test:967:turn-0:6754bc99e7aa,54,32,0.42592592592592593
28,gsm8k:test:622:turn-0:b4b0d95d96a0,95,32,0.5473684210526316
29,gsm8k:test:90:turn-0:5567f49aa1c4,55,32,0.2727272727272727
30,gsm8k:test:423:turn-0:a9803aada7db,97,32,0.28865979381443296
31,gsm8k:test:1020:turn-0:567a371a2556,40,32,0.4
0,gsm8k:test:264:turn-0:cbccfbeeb182,58,64,0.46551724137931033
1,gsm8k:test:725:turn-0:d3bdb32954ce,50,64,0.72
2,gsm8k:test:996:turn-0:e543f56bd86d,84,64,0.39285714285714285
3,gsm8k:test:586:turn-0:c574f85c881a,58,64,0.3103448275862069
4,gsm8k:test:1010:turn-0:8be4a257d36a,44,64,0.4772727272727273
5,gsm8k:test:12:turn-0:e088a2ffbb09,93,64,0.5483870967741935
6,gsm8k:test:904:turn-0:11c33e8ce051,52,64,0.8269230769230769
7,gsm8k:test:130:turn-0:e638e1858c1c,50,64,0.26
8,gsm8k:test:209:turn-0:dc688bae2b0d,69,64,0.855072463768116
9,gsm8k:test:244:turn-0:f7479c30d5b2,73,64,0.589041095890411
10,gsm8k:test:237:turn-0:46c9a228b5ef,45,64,0.9111111111111111
11,gsm8k:test:689:turn-0:de38ea8fba8c,61,64,0.5737704918032787
12,gsm8k:test:601:turn-0:e79b65885efe,71,64,0.6056338028169014
13,gsm8k:test:98:turn-0:0cf2bb730db0,73,64,0.7808219178082192
14,gsm8k:test:1284:turn-0:279651aacfd5,71,64,0.6197183098591549
15,gsm8k:test:1131:turn-0:39bb46246bcf,74,64,0.5675675675675675
16,gsm8k:test:1272:turn-0:1f04e0044916,46,64,0.5
17,gsm8k:test:482:turn-0:43dfd9650ca8,43,64,0.46511627906976744
18,gsm8k:test:992:turn-0:08767a111734,59,64,0.423728813559322
19,gsm8k:test:454:turn-0:e58837953363,26,64,0.3076923076923077
20,gsm8k:test:183:turn-0:a0e1f7344c6e,72,64,0.5416666666666666
21,gsm8k:test:476:turn-0:ac9fa5109a39,42,64,0.5476190476190477
22,gsm8k:test:506:turn-0:721e1f45e744,56,64,0.42857142857142855
23,gsm8k:test:765:turn-0:bc69d570adcb,36,64,0.5833333333333334
24,gsm8k:test:1195:turn-0:24b8ea235fdc,60,64,0.21666666666666667
25,gsm8k:test:1093:turn-0:d20d0d48bb0a,71,64,0.8028169014084507
26,gsm8k:test:1232:turn-0:738a8f9de2e8,35,64,0.5428571428571428
27,gsm8k:test:967:turn-0:6754bc99e7aa,54,64,0.5925925925925926
28,gsm8k:test:622:turn-0:b4b0d95d96a0,95,64,0.6
29,gsm8k:test:90:turn-0:5567f49aa1c4,55,64,0.38181818181818183
30,gsm8k:test:423:turn-0:a9803aada7db,97,64,0.4020618556701031
31,gsm8k:test:1020:turn-0:567a371a2556,40,64,0.475
0,gsm8k:test:264:turn-0:cbccfbeeb182,58,128,0.5344827586206896
1,gsm8k:test:725:turn-0:d3bdb32954ce,50,128,0.76
2,gsm8k:test:996:turn-0:e543f56bd86d,84,128,0.47619047619047616
3,gsm8k:test:586:turn-0:c574f85c881a,58,128,0.41379310344827586
4,gsm8k:test:1010:turn-0:8be4a257d36a,44,128,0.5
5,gsm8k:test:12:turn-0:e088a2ffbb09,93,128,0.5698924731182796
6,gsm8k:test:904:turn-0:11c33e8ce051,52,128,0.6730769230769231
7,gsm8k:test:130:turn-0:e638e1858c1c,50,128,0.36
8,gsm8k:test:209:turn-0:dc688bae2b0d,69,128,0.8260869565217391
9,gsm8k:test:244:turn-0:f7479c30d5b2,73,128,0.6027397260273972
10,gsm8k:test:237:turn-0:46c9a228b5ef,45,128,1.0666666666666667
11,gsm8k:test:689:turn-0:de38ea8fba8c,61,128,0.6557377049180327
12,gsm8k:test:601:turn-0:e79b65885efe,71,128,0.5633802816901409
13,gsm8k:test:98:turn-0:0cf2bb730db0,73,128,0.726027397260274
14,gsm8k:test:1284:turn-0:279651aacfd5,71,128,0.5774647887323944
15,gsm8k:test:1131:turn-0:39bb46246bcf,74,128,0.5945945945945946
16,gsm8k:test:1272:turn-0:1f04e0044916,46,128,0.45652173913043476
17,gsm8k:test:482:turn-0:43dfd9650ca8,43,128,0.4883720930232558
18,gsm8k:test:992:turn-0:08767a111734,59,128,0.5423728813559322
19,gsm8k:test:454:turn-0:e58837953363,26,128,0.34615384615384615
20,gsm8k:test:183:turn-0:a0e1f7344c6e,72,128,0.4861111111111111
21,gsm8k:test:476:turn-0:ac9fa5109a39,42,128,0.5476190476190477
22,gsm8k:test:506:turn-0:721e1f45e744,56,128,0.4642857142857143
23,gsm8k:test:765:turn-0:bc69d570adcb,36,128,0.6388888888888888
24,gsm8k:test:1195:turn-0:24b8ea235fdc,60,128,0.21666666666666667
25,gsm8k:test:1093:turn-0:d20d0d48bb0a,71,128,0.7746478873239436
26,gsm8k:test:1232:turn-0:738a8f9de2e8,35,128,0.4857142857142857
27,gsm8k:test:967:turn-0:6754bc99e7aa,54,128,0.48148148148148145
28,gsm8k:test:622:turn-0:b4b0d95d96a0,95,128,0.5578947368421052
29,gsm8k:test:90:turn-0:5567f49aa1c4,55,128,0.2727272727272727
30,gsm8k:test:423:turn-0:a9803aada7db,97,128,0.38144329896907214
31,gsm8k:test:1020:turn-0:567a371a2556,40,128,0.4
0,gsm8k:test:264:turn-0:cbccfbeeb182,58,256,0.5344827586206896
1,gsm8k:test:725:turn-0:d3bdb32954ce,50,256,0.78
2,gsm8k:test:996:turn-0:e543f56bd86d,84,256,0.4880952380952381
3,gsm8k:test:586:turn-0:c574f85c881a,58,256,0.3448275862068966
4,gsm8k:test:1010:turn-0:8be4a257d36a,44,256,0.4772727272727273
5,gsm8k:test:12:turn-0:e088a2ffbb09,93,256,0.5913978494623656
6,gsm8k:test:904:turn-0:11c33e8ce051,52,256,0.5769230769230769
7,gsm8k:test:130:turn-0:e638e1858c1c,50,256,0.5
8,gsm8k:test:209:turn-0:dc688bae2b0d,69,256,0.6811594202898551
9,gsm8k:test:244:turn-0:f7479c30d5b2,73,256,0.6438356164383562
10,gsm8k:test:237:turn-0:46c9a228b5ef,45,256,1.0
11,gsm8k:test:689:turn-0:de38ea8fba8c,61,256,0.6229508196721312
12,gsm8k:test:601:turn-0:e79b65885efe,71,256,0.4084507042253521
13,gsm8k:test:98:turn-0:0cf2bb730db0,73,256,0.7397260273972602
14,gsm8k:test:1284:turn-0:279651aacfd5,71,256,0.5211267605633803
15,gsm8k:test:1131:turn-0:39bb46246bcf,74,256,0.6621621621621622
16,gsm8k:test:1272:turn-0:1f04e0044916,46,256,0.41304347826086957
17,gsm8k:test:482:turn-0:43dfd9650ca8,43,256,0.4418604651162791
18,gsm8k:test:992:turn-0:08767a111734,59,256,0.4915254237288136
19,gsm8k:test:454:turn-0:e58837953363,26,256,0.5
20,gsm8k:test:183:turn-0:a0e1f7344c6e,72,256,0.4444444444444444
21,gsm8k:test:476:turn-0:ac9fa5109a39,42,256,0.5
22,gsm8k:test:506:turn-0:721e1f45e744,56,256,0.39285714285714285
23,gsm8k:test:765:turn-0:bc69d570adcb,36,256,0.6111111111111112
24,gsm8k:test:1195:turn-0:24b8ea235fdc,60,256,0.21666666666666667
25,gsm8k:test:1093:turn-0:d20d0d48bb0a,71,256,0.704225352112676
26,gsm8k:test:1232:turn-0:738a8f9de2e8,35,256,0.6
27,gsm8k:test:967:turn-0:6754bc99e7aa,54,256,0.5925925925925926
28,gsm8k:test:622:turn-0:b4b0d95d96a0,95,256,0.5263157894736842
29,gsm8k:test:90:turn-0:5567f49aa1c4,55,256,0.2545454545454545
30,gsm8k:test:423:turn-0:a9803aada7db,97,256,0.38144329896907214
31,gsm8k:test:1020:turn-0:567a371a2556,40,256,0.45
